fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime
2018-09-02,AA,AA,AA,2458,AA,N835NN,2458,14679,SAN,"San Diego, CA",12478,JFK,"New York, NY",745,737.0,-8.0,20.0,757.0,1553.0,8.0,1620,1601.0,-19.0,0.0,0,0.0,N,335.0,324.0,296.0,1.0,2446.0,0.0,0.0,0.0,0.0,0.0,737.0,0.0,0.0
2018-04-10,UA,UA,UA,1846,UA,N87507,1846,13930,ORD,"Chicago, IL",14747,SEA,"Seattle, WA",745,740.0,-5.0,22.0,802.0,1013.0,10.0,1012,1023.0,11.0,0.0,0,0.0,N,267.0,283.0,251.0,1.0,1721.0,0.0,0.0,0.0,0.0,0.0,740.0,0.0,0.0
2018-05-08,DL,DL,DL,2006,DL,N927DN,2006,10397,ATL,"Atlanta, GA",15096,SYR,"Syracuse, NY",1457,1502.0,5.0,27.0,1529.0,1716.0,6.0,1709,1722.0,13.0,0.0,0,0.0,N,132.0,140.0,107.0,1.0,794.0,0.0,0.0,0.0,0.0,0.0,1502.0,0.0,0.0
2018-11-04,AS,AS,AS,646,AS,N318AS,646,14747,SEA,"Seattle, WA",14107,PHX,"Phoenix, AZ",1530,1528.0,-2.0,20.0,1548.0,1854.0,9.0,1922,1903.0,-19.0,0.0,0,0.0,N,172.0,155.0,126.0,1.0,1107.0,0.0,0.0,0.0,0.0,0.0,1528.0,0.0,0.0
2019-07-19,AA,AA,AA,2873,AA,N9011P,2873,15412,TYS,"Knoxville, TN",11298,DFW,"Dallas/Fort Worth, TX",620,617.0,-3.0,11.0,628.0,709.0,10.0,742,719.0,-23.0,0.0,0,0.0,N,142.0,122.0,101.0,1.0,771.0,0.0,0.0,0.0,0.0,0.0,617.0,0.0,0.0
2018-02-27,B6,B6,B6,112,B6,N192JB,112,13930,ORD,"Chicago, IL",10721,BOS,"Boston, MA",2033,2021.0,-12.0,12.0,2033.0,2314.0,4.0,2350,2318.0,-32.0,0.0,0,0.0,N,137.0,117.0,101.0,1.0,867.0,0.0,0.0,0.0,0.0,0.0,2021.0,0.0,0.0
2018-09-24,DL,DL,DL,767,DL,N3758Y,767,14747,SEA,"Seattle, WA",14869,SLC,"Salt Lake City, UT",1128,1128.0,0.0,19.0,1147.0,1413.0,19.0,1430,1432.0,2.0,0.0,0,0.0,N,122.0,124.0,86.0,1.0,689.0,0.0,0.0,0.0,0.0,0.0,1128.0,0.0,0.0
2019-05-10,UA,UA,UA,1962,UA,N75854,1962,12892,LAX,"Los Angeles, CA",13930,ORD,"Chicago, IL",1755,1749.0,-6.0,16.0,1805.0,2325.0,8.0,2353,2333.0,-20.0,0.0,0,0.0,N,238.0,224.0,200.0,1.0,1744.0,0.0,0.0,0.0,0.0,0.0,1749.0,0.0,0.0
2019-01-17,DL,DL,DL,1590,DL,N302DN,1590,10397,ATL,"Atlanta, GA",10721,BOS,"Boston, MA",1346,1404.0,18.0,28.0,1432.0,1625.0,14.0,1617,1639.0,22.0,0.0,0,0.0,N,151.0,155.0,113.0,1.0,946.0,0.0,0.0,4.0,0.0,18.0,1404.0,0.0,0.0
2019-04-29,DL,DL_CODESHARE,DL,3518,OO,N452SW,3518,10397,ATL,"Atlanta, GA",11641,FAY,"Fayetteville, NC",815,815.0,0.0,20.0,835.0,925.0,4.0,935,929.0,-6.0,0.0,0,0.0,N,80.0,74.0,50.0,1.0,331.0,0.0,0.0,0.0,0.0,0.0,815.0,0.0,0.0
2019-08-28,AA,AA,AA,2382,AA,N339PL,2382,13930,ORD,"Chicago, IL",11618,EWR,"Newark, NJ",1713,1728.0,15.0,72.0,1840.0,2116.0,8.0,2029,2124.0,55.0,0.0,0,0.0,N,136.0,176.0,96.0,1.0,719.0,0.0,0.0,55.0,0.0,0.0,1728.0,0.0,0.0
2018-08-07,WN,WN,WN,1808,WN,N7736A,1808,14771,SFO,"San Francisco, CA",14908,SNA,"Santa Ana, CA",710,704.0,-6.0,17.0,721.0,822.0,4.0,840,826.0,-14.0,0.0,0,0.0,N,90.0,82.0,61.0,1.0,372.0,0.0,0.0,0.0,0.0,0.0,704.0,0.0,0.0
2019-05-08,UA,UA,UA,432,UA,N66828,432,12889,LAS,"Las Vegas, NV",13930,ORD,"Chicago, IL",712,708.0,-4.0,11.0,719.0,1223.0,10.0,1245,1233.0,-12.0,0.0,0,0.0,N,213.0,205.0,184.0,1.0,1514.0,0.0,0.0,0.0,0.0,0.0,708.0,0.0,0.0
2018-09-14,DL,DL_CODESHARE,DL,5729,CP,N615CZ,5729,14747,SEA,"Seattle, WA",11603,EUG,"Eugene, OR",1510,1507.0,-3.0,11.0,1518.0,1601.0,3.0,1623,1604.0,-19.0,0.0,0,0.0,N,73.0,57.0,43.0,1.0,234.0,0.0,0.0,0.0,0.0,0.0,1507.0,0.0,0.0
2019-07-12,AA,AA,AA,1475,AA,N933AN,1475,13930,ORD,"Chicago, IL",13198,MCI,"Kansas City, MO",1229,1229.0,0.0,14.0,1243.0,1338.0,7.0,1354,1345.0,-9.0,0.0,0,0.0,N,85.0,76.0,55.0,1.0,403.0,0.0,0.0,0.0,0.0,0.0,1229.0,0.0,0.0
2018-01-12,DL,DL_CODESHARE,DL,4942,OO,N923EV,4942,10397,ATL,"Atlanta, GA",13422,MOB,"Mobile, AL",815,811.0,-4.0,22.0,833.0,838.0,5.0,840,843.0,3.0,0.0,0,0.0,N,85.0,92.0,65.0,1.0,302.0,0.0,0.0,0.0,0.0,0.0,811.0,0.0,0.0
2018-07-24,AA,AA,AA,2630,AA,N9620D,2630,12266,IAH,"Houston, TX",11298,DFW,"Dallas/Fort Worth, TX",1430,1426.0,-4.0,14.0,1440.0,1521.0,13.0,1548,1534.0,-14.0,0.0,0,0.0,N,78.0,68.0,41.0,1.0,224.0,0.0,0.0,0.0,0.0,0.0,1426.0,0.0,0.0
2018-07-26,UA,UA_CODESHARE,UA,3949,ZW,N460AW,3949,12323,ILM,"Wilmington, NC",12264,IAD,"Washington, DC",1035,1223.0,108.0,9.0,1232.0,1321.0,10.0,1148,1331.0,103.0,0.0,0,0.0,N,73.0,68.0,49.0,1.0,323.0,0.0,0.0,103.0,0.0,0.0,1223.0,0.0,0.0
2018-06-22,AA,AA,AA,985,AA,N967NN,985,13930,ORD,"Chicago, IL",11278,DCA,"Washington, DC",815,813.0,-2.0,36.0,849.0,1123.0,6.0,1101,1129.0,28.0,0.0,0,0.0,N,106.0,136.0,94.0,1.0,612.0,0.0,0.0,28.0,0.0,0.0,813.0,0.0,0.0
2019-03-08,WN,WN,WN,2515,WN,N714CB,2515,12953,LGA,"New York, NY",11259,DAL,"Dallas, TX",1030,1027.0,-3.0,23.0,1050.0,1316.0,3.0,1350,1319.0,-31.0,0.0,0,0.0,N,260.0,232.0,206.0,1.0,1381.0,0.0,0.0,0.0,0.0,0.0,1027.0,0.0,0.0
2019-07-24,AA,AA,AA,1890,AA,N926AN,1890,11298,DFW,"Dallas/Fort Worth, TX",10721,BOS,"Boston, MA",2050,2048.0,-2.0,19.0,2107.0,109.0,10.0,137,119.0,-18.0,0.0,0,0.0,N,227.0,211.0,182.0,1.0,1562.0,0.0,0.0,0.0,0.0,0.0,2048.0,0.0,0.0
2018-10-19,HA,HA,HA,256,HA,N490HA,256,12173,HNL,"Honolulu, HI",13830,OGG,"Kahului, HI",800,754.0,-6.0,14.0,808.0,828.0,6.0,842,834.0,-8.0,0.0,0,0.0,N,42.0,40.0,20.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,754.0,0.0,0.0
2019-08-16,AA,AA,AA,2262,AA,N843NN,2262,10721,BOS,"Boston, MA",13930,ORD,"Chicago, IL",1605,1557.0,-8.0,25.0,1622.0,1734.0,35.0,1806,1809.0,3.0,0.0,0,0.0,N,181.0,192.0,132.0,1.0,867.0,0.0,0.0,0.0,0.0,0.0,1557.0,0.0,0.0
2018-01-30,AA,AA_CODESHARE,AA,4691,YX,N431YX,4691,12339,IND,"Indianapolis, IN",13303,MIA,"Miami, FL",1753,1746.0,-7.0,22.0,1808.0,2021.0,5.0,2039,2026.0,-13.0,0.0,0,0.0,N,166.0,160.0,133.0,1.0,1020.0,0.0,0.0,0.0,0.0,0.0,1746.0,0.0,0.0
2019-06-15,DL,DL,DL,2693,DL,N942AT,2693,14747,SEA,"Seattle, WA",11292,DEN,"Denver, CO",1115,1110.0,-5.0,16.0,1126.0,1453.0,10.0,1504,1503.0,-1.0,0.0,0,0.0,N,169.0,173.0,147.0,1.0,1024.0,0.0,0.0,0.0,0.0,0.0,1110.0,0.0,0.0
2019-03-17,WN,WN,WN,2595,WN,N7735A,2595,11259,DAL,"Dallas, TX",10279,AMA,"Amarillo, TX",1315,1315.0,0.0,9.0,1324.0,1416.0,4.0,1430,1420.0,-10.0,0.0,0,0.0,N,75.0,65.0,52.0,1.0,323.0,0.0,0.0,0.0,0.0,0.0,1315.0,0.0,0.0
2018-06-14,AA,AA_CODESHARE,AA,3821,MQ,N541EA,3821,10257,ALB,"Albany, NY",13930,ORD,"Chicago, IL",1612,1559.0,-13.0,11.0,1610.0,1655.0,10.0,1739,1705.0,-34.0,0.0,0,0.0,N,147.0,126.0,105.0,1.0,723.0,0.0,0.0,0.0,0.0,0.0,1559.0,0.0,0.0
2018-03-25,WN,WN,WN,4485,WN,N297WN,4485,12892,LAX,"Los Angeles, CA",13232,MDW,"Chicago, IL",1425,1433.0,8.0,15.0,1448.0,2004.0,3.0,2020,2007.0,-13.0,0.0,0,0.0,N,235.0,214.0,196.0,1.0,1750.0,0.0,0.0,0.0,0.0,0.0,1433.0,0.0,0.0
2018-04-16,AA,AA_CODESHARE,AA,3988,MQ,N237NN,3988,13930,ORD,"Chicago, IL",12266,IAH,"Houston, TX",727,737.0,10.0,50.0,827.0,1028.0,4.0,1020,1032.0,12.0,0.0,0,0.0,N,173.0,175.0,121.0,1.0,925.0,0.0,0.0,0.0,0.0,0.0,737.0,0.0,0.0
2018-10-10,UA,UA_CODESHARE,UA,4273,EV,N13566,4273,12266,IAH,"Houston, TX",10781,BTR,"Baton Rouge, LA",1620,1616.0,-4.0,22.0,1638.0,1718.0,5.0,1727,1723.0,-4.0,0.0,0,0.0,N,67.0,67.0,40.0,1.0,253.0,0.0,0.0,0.0,0.0,0.0,1616.0,0.0,0.0
2018-01-21,UA,UA_CODESHARE,UA,4819,C5,N14171,4819,15096,SYR,"Syracuse, NY",11618,EWR,"Newark, NJ",1525,1511.0,-14.0,16.0,1527.0,1605.0,7.0,1655,1612.0,-43.0,0.0,0,0.0,N,90.0,61.0,38.0,1.0,195.0,0.0,0.0,0.0,0.0,0.0,1511.0,0.0,0.0
2018-01-18,WN,WN,WN,497,WN,N259WN,497,15016,STL,"St. Louis, MO",14679,SAN,"San Diego, CA",1345,1343.0,-2.0,7.0,1350.0,1458.0,2.0,1555,1500.0,-55.0,0.0,0,0.0,N,250.0,197.0,188.0,1.0,1557.0,0.0,0.0,0.0,0.0,0.0,1343.0,0.0,0.0
2018-03-08,G4,G4,G4,1253,G4,218NV,1253,12544,USA,"Concord, NC",11697,FLL,"Fort Lauderdale, FL",1347,1353.0,6.0,8.0,1401.0,1546.0,6.0,1541,1552.0,11.0,0.0,0,0.0,N,114.0,119.0,105.0,1.0,643.0,0.0,0.0,0.0,0.0,0.0,1353.0,0.0,0.0
2019-01-16,AA,AA_CODESHARE,AA,3234,OO,N760EV,3234,14730,SDF,"Louisville, KY",13930,ORD,"Chicago, IL",1124,1115.0,-9.0,12.0,1127.0,1126.0,13.0,1201,1139.0,-22.0,0.0,0,0.0,N,97.0,84.0,59.0,1.0,286.0,0.0,0.0,0.0,0.0,0.0,1115.0,0.0,0.0
2019-11-15,UA,UA_CODESHARE,UA,4246,EV,N15572,4246,12266,IAH,"Houston, TX",13061,LRD,"Laredo, TX",1420,1414.0,-6.0,26.0,1440.0,1533.0,4.0,1544,1537.0,-7.0,0.0,0,0.0,N,84.0,83.0,53.0,1.0,301.0,0.0,0.0,0.0,0.0,0.0,1414.0,0.0,0.0
2019-05-07,AS,AS_CODESHARE,AS,3309,OO,N403SY,3309,10713,BOI,"Boise, ID",14057,PDX,"Portland, OR",1625,1620.0,-5.0,14.0,1634.0,1630.0,7.0,1640,1637.0,-3.0,0.0,0,0.0,N,75.0,77.0,56.0,1.0,344.0,0.0,0.0,0.0,0.0,0.0,1620.0,0.0,0.0
2018-10-17,DL,DL_CODESHARE,DL,5729,CP,N621CZ,5729,14747,SEA,"Seattle, WA",11603,EUG,"Eugene, OR",1510,1505.0,-5.0,11.0,1516.0,1601.0,4.0,1623,1605.0,-18.0,0.0,0,0.0,N,73.0,60.0,45.0,1.0,234.0,0.0,0.0,0.0,0.0,0.0,1505.0,0.0,0.0
2019-09-24,UA,UA,UA,697,UA,N62895,697,13487,MSP,"Minneapolis, MN",11292,DEN,"Denver, CO",720,710.0,-10.0,39.0,749.0,824.0,11.0,826,835.0,9.0,0.0,0,0.0,N,126.0,145.0,95.0,1.0,680.0,0.0,0.0,0.0,0.0,0.0,710.0,0.0,0.0
2018-03-10,DL,DL,DL,2325,DL,N675DL,2325,14869,SLC,"Salt Lake City, UT",10397,ATL,"Atlanta, GA",935,932.0,-3.0,12.0,944.0,1429.0,4.0,1512,1433.0,-39.0,0.0,0,0.0,N,217.0,181.0,165.0,1.0,1590.0,0.0,0.0,0.0,0.0,0.0,932.0,0.0,0.0
2018-07-18,DL,DL,DL,977,DL,N941DL,977,13930,ORD,"Chicago, IL",10397,ATL,"Atlanta, GA",600,557.0,-3.0,13.0,610.0,832.0,7.0,856,839.0,-17.0,0.0,0,0.0,N,116.0,102.0,82.0,1.0,606.0,0.0,0.0,0.0,0.0,0.0,557.0,0.0,0.0
2019-11-24,UA,UA_CODESHARE,UA,6051,YV,N89357,6051,11540,ELP,"El Paso, TX",12266,IAH,"Houston, TX",815,815.0,0.0,8.0,823.0,1046.0,9.0,1113,1055.0,-18.0,0.0,0,0.0,N,118.0,100.0,83.0,1.0,667.0,0.0,0.0,0.0,0.0,0.0,815.0,0.0,0.0
2019-02-26,AA,AA_CODESHARE,AA,4877,PT,N644AE,4877,13230,MDT,"Harrisburg, PA",14100,PHL,"Philadelphia, PA",1042,1036.0,-6.0,15.0,1051.0,1119.0,4.0,1130,1123.0,-7.0,0.0,0,0.0,N,48.0,47.0,28.0,1.0,84.0,0.0,0.0,0.0,0.0,0.0,1036.0,0.0,0.0
2018-01-13,AS,AS_CODESHARE,AS,3297,KS,N682PA,3297,11445,DUT,"Unalaska, AK",10299,ANC,"Anchorage, AK",1740,1820.0,40.0,6.0,1826.0,2044.0,6.0,2010,2050.0,40.0,0.0,0,0.0,N,150.0,150.0,138.0,1.0,792.0,0.0,0.0,0.0,0.0,40.0,1820.0,0.0,0.0
2019-07-04,WN,WN,WN,675,WN,N8551Q,675,12889,LAS,"Las Vegas, NV",14831,SJC,"San Jose, CA",1145,1142.0,-3.0,14.0,1156.0,1257.0,11.0,1310,1308.0,-2.0,0.0,0,0.0,N,85.0,86.0,61.0,1.0,386.0,0.0,0.0,0.0,0.0,0.0,1142.0,0.0,0.0
2018-10-07,AA,AA_CODESHARE,AA,3765,MQ,N824AE,3765,14122,PIT,"Pittsburgh, PA",10721,BOS,"Boston, MA",822,819.0,-3.0,8.0,827.0,940.0,3.0,1005,943.0,-22.0,0.0,0,0.0,N,103.0,84.0,73.0,1.0,496.0,0.0,0.0,0.0,0.0,0.0,819.0,0.0,0.0
2018-06-13,DL,DL_CODESHARE,DL,5469,9E,N8894A,5469,11203,CWA,"Mosinee, WI",11433,DTW,"Detroit, MI",1200,1157.0,-3.0,16.0,1213.0,1405.0,10.0,1419,1415.0,-4.0,0.0,0,0.0,N,79.0,78.0,52.0,1.0,363.0,0.0,0.0,0.0,0.0,0.0,1157.0,0.0,0.0
2018-03-23,UA,UA_CODESHARE,UA,3970,EV,N21537,3970,10581,BGR,"Bangor, ME",11618,EWR,"Newark, NJ",600,553.0,-7.0,31.0,624.0,746.0,14.0,750,800.0,10.0,0.0,0,0.0,N,110.0,127.0,82.0,1.0,393.0,0.0,0.0,0.0,0.0,0.0,553.0,0.0,0.0
2018-11-22,AA,AA,AA,2090,AA,N921US,2090,13204,MCO,"Orlando, FL",11057,CLT,"Charlotte, NC",500,457.0,-3.0,10.0,507.0,617.0,6.0,636,623.0,-13.0,0.0,0,0.0,N,96.0,86.0,70.0,1.0,468.0,0.0,0.0,0.0,0.0,0.0,457.0,0.0,0.0
2018-11-10,AA,AA_CODESHARE,AA,3488,MQ,N250NN,3488,14193,PNS,"Pensacola, FL",11298,DFW,"Dallas/Fort Worth, TX",1329,1329.0,0.0,15.0,1344.0,1526.0,15.0,1536,1541.0,5.0,0.0,0,0.0,N,127.0,132.0,102.0,1.0,604.0,0.0,0.0,0.0,0.0,0.0,1329.0,0.0,0.0
