,pc1,pc2,pc3,pc4,pc5,delay_type
1,1.8998283833643987,-1.9133410782774285,1.1645071305588015,-0.9468781755430248,1.2736255168002624,3
3,3.8329296725937647,-2.0779185089807246,0.6112939744834837,-1.221625013692334,-1.1187021512082536,1
7,-3.029922050016768,1.4771689754043915,-1.030997936234051,-1.126710868740438,1.079657103513937,5
11,3.906553694118751,-0.4243272939101574,1.5437028103239399,-0.17739429991358327,1.9092325963452168,3
14,-3.146141187073652,-2.3724425994018588,0.9123983817683486,0.5121583950691312,-1.1101294101584611,5
21,-0.08278931056770297,-1.0859168086134086,-0.18590794275924608,-0.7105544513220284,1.592363817236479,1
25,-1.921561146729772,2.2747236693141843,2.3992429052794892,-1.4784738434655629,0.4594109377399371,3
36,-1.0727102291887156,-0.8215849660058311,-1.7796783971694623,1.1294841292927391,1.328982944355874,1
37,0.2763187525197381,-1.9472056391290984,1.072872912791068,-0.9190356153372496,1.2276626593220479,1
40,0.2299871288628723,-1.6569628642115242,0.669482323941457,0.10770492898680624,-0.17566466363007208,1
50,0.28507765729607104,-0.2890825873541662,-1.9044302127061281,1.8712530870006852,0.07672096421239813,1
53,0.15386567821944852,0.8769139485485062,-1.9372788508646792,-1.1871621515538353,1.3746551100358513,5
56,0.3116587910940807,2.310671799678906,0.23564319753939506,0.6585246835384715,0.6543635439062597,3
58,0.2988872840360036,-1.0124959756996108,-1.2997450455517052,-1.6635199669242249,-0.1982557752280111,3
76,0.08024555691294755,4.007334856100002,0.9140481472257396,-1.016709537663811,0.4407542792385027,5
77,3.90464847649104,-0.10196203481826352,-1.917513623322492,-0.4190984511493908,1.3748946829477875,3
79,-2.0713431368654205,-1.6971963431857415,-0.19569308802472726,-0.5770174350722735,-1.6986766832511555,2
88,2.4254016019818603,-1.8989568680392548,-0.14069357046034986,-0.5024351767260516,-2.062034440642254,3
97,-1.4219477827250953,-1.9601065315364943,1.3297554191024628,-0.5385092861713697,-0.05913082294635672,5
98,-2.383009469699928,-0.06328254310037566,-1.6320430113258615,-1.1791999442074237,1.0379606589525947,3
104,2.411225286966385,-1.31206288363593,1.4044711040012592,-1.3773019898640018,1.233004221470876,5
106,-1.076827984198628,-0.9178552311261928,0.3413645831299749,0.6712982242344268,-0.5893805339582189,5
115,-1.2429260211573374,2.2221134423345297,-0.045460687778523474,-1.1111762461446255,-0.5838971073535485,1
116,-1.3826022716732984,-1.2156721052687665,0.8065899085575199,-0.6757421721778679,-1.1674508205022494,5
121,0.6377311261752637,4.815589798651448,1.1876853720019762,-0.900855432181004,0.9574743319235844,3
124,-2.8722688610965736,-2.228420784817628,0.5548526249515109,0.4830594683765181,-1.773321679612964,1
131,2.3733269970813637,-0.9846029553276842,-1.4513583330729474,1.4484553081621172,0.04765869555006444,1
136,2.3904370146549483,-2.3405683713121888,0.04700270225641995,-2.6626225212977466,-0.22640348005409605,1
138,3.1009560461183225,-1.2906573844033422,-0.18510797807936769,0.1529634356154998,0.7971195802644334,5
140,-2.3085383571156393,-0.5253701604162386,-0.17792581431130386,-0.2182205419003763,0.9139753392006964,1
142,-1.9203718657383608,3.363448617583938,1.952316277868393,-1.7505602013007218,0.39273085111585215,3
147,-2.9596191783946093,-0.7311693566772913,-0.0001025364700248192,0.34448847171632346,-1.2419440668870696,3
152,0.8527898995887001,0.7456334775126691,-0.5787990032366377,-0.7171134653859027,-0.8918810326123491,5
155,3.959480740351424,4.232476164668505,0.8492552005200139,-0.16993321120646726,0.13648605855422016,3
156,-2.627475242240339,-0.8611476204616441,-1.3749856779890082,0.7672076040236866,-1.771957610712254,5
157,-0.06792367333076471,-1.7119970671716989,0.2491510148874684,-0.17954490320556546,-0.8989069084094787,5
171,-2.6695414643725766,-2.2067592930602395,0.3377754816712998,-0.031627974155717824,1.2219182012512588,1
174,-2.9158509516143085,-2.3520612442435334,0.07914738079759456,1.1807721765150287,1.4168416567914002,1
181,-0.11451770703445074,-0.5676181420461127,0.5686568517623952,0.4826749534345402,1.6922899288276128,3
182,-1.8629366138994423,1.6681325937769569,-0.2589084758218919,-1.3622848004465844,0.19531782085858584,5
190,-2.269298736160524,1.211549970605467,-1.549955442008404,-0.7371929258856055,0.4505302552276565,5
191,-0.15406098969898874,0.7152108786239658,0.867121923698645,1.9500783796983905,-1.0090667393150323,3
194,-2.3250250375917263,0.3750218180928375,-1.6304285699481578,0.6544064932264797,1.2234143040209864,5
