,branded_code_share,origin,dest,crs_dep_time,crs_arr_time,crs_elapsed_time,air_time,distance,fl_month,fl_day_of_week,fl_week_of_month,mkt_op_combo,fl_type,m_hist_dep_delay,med_hist_dep_delay,m_hist_arr_delay,med_hist_arr_delay,delay_type
6180,-0.7788075504361053,0.12761446540182642,1.384099819175412,-0.2102542737394206,-0.10979375573987572,-0.5426034283943517,-0.5546964003647642,-0.7358080696785401,-1.641707749296355,-0.9707668356514938,-0.07784303187920527,-0.21439170467604174,-0.5201790405599706,-0.14889701336482844,0.049163363889049516,-0.12787144361403,-0.10234546143101017,3
6181,1.2840142592865669,0.8700749101213074,0.7407863206363196,-1.03023974648201,-1.0848038302461749,-0.7939285046132495,-1.0086856033172331,-0.9492097794901764,-0.7588301558002534,-1.4718800174793067,1.4511818008447102,-1.030291521614818,-0.5201790405599706,-1.0613083024028944,-0.8290757467849664,-1.0221252156031304,-1.1228348603253158,5
6190,1.2840142592865669,0.13751393799808614,-0.8724459910847896,-0.2102542737394206,-0.3047957706411355,-0.8218535130820159,-0.7958781644332633,-0.8297048219956601,0.4183399688612154,0.5325727098319458,-1.6068678646031207,-0.9561188109840202,-0.5201790405599706,-0.14889701336482844,0.049163363889049516,-0.12787144361403,-0.10234546143101017,1
6200,1.2840142592865669,1.3650485399342949,-0.6646062454029289,-1.2352361146676576,-1.2798058451474343,-1.0452535808321473,-0.7816910018409987,-0.9116510785633284,-1.641707749296355,0.03145952800413263,-0.07784303187920527,-0.5110825471992331,-0.5201790405599706,-1.3503479947668628,-1.7073148574589825,-1.2568812558886686,-1.1228348603253158,5
6202,-0.7788075504361053,0.7314822937736709,-0.8922402525783002,-1.03023974648201,-0.6947998004436551,-0.36109087334737006,-0.4128247744421177,-0.26632430809294017,-1.3474152181309875,-1.4718800174793067,0.6866693844827525,-1.5495004960304029,1.6105399745071334,-1.0613083024028944,-0.8290757467849664,-1.0221252156031304,-1.1228348603253158,3
6207,-0.7788075504361053,0.3553023351158006,-0.14005831582489955,-0.2102542737394206,-0.3047957706411355,0.0577842536841263,0.1688488918407331,0.14682140210238778,0.7126325000265826,0.03145952800413263,1.4511818008447102,0.9723716654167236,-0.5201790405599706,-0.14889701336482844,0.049163363889049516,-0.12787144361403,-0.10234546143101017,5
6208,1.2840142592865669,1.2561543413754377,-0.4765607612145788,1.2247203035601113,1.2552203485689426,0.029859245215359875,0.5093407940550848,0.4421693684816925,-0.17024509346951902,1.5347990734875725,-0.07784303187920527,-0.5110825471992331,-0.5201790405599706,1.3497091486056845,0.9274024745630656,1.2799220094460138,1.4283886369104482,5
6217,1.2840142592865669,-0.8920312120129275,0.3449010907661087,1.4297166717457586,1.2552203485689426,0.4626968764812394,0.3532820055401736,0.3090067015592314,0.4183399688612154,0.5325727098319458,-0.07784303187920527,-0.8819461003532223,-0.5201790405599706,1.2458224405544869,0.9274024745630656,1.1871956311450869,1.4283886369104482,5
6219,-0.7788075504361053,-1.2286132802857588,1.196054334987062,-0.415250641925068,-0.4997977855423952,-0.9475160511914648,-0.7958781644332633,-0.8382408903881255,-0.17024509346951902,1.5347990734875725,-0.8423554482411629,1.3432352185707128,-0.5201790405599706,-0.3455620554437191,0.049163363889049516,-0.4730043018893449,-0.612590160878163,5
6225,1.2840142592865669,1.5729374644557494,-0.1598525773184101,1.0197239353744638,1.2552203485689426,-0.24939083947230434,-0.1858301729658832,-0.12291835909952055,-1.3474152181309875,0.03145952800413263,0.6866693844827525,1.1948897973091173,-0.5201790405599706,1.3007507798896227,0.9274024745630656,1.3921983403842564,1.4283886369104482,1
6228,1.2840142592865669,0.7314822937736709,-1.3673025284225528,1.0197239353744638,1.060218333667683,-0.556565932628735,-0.5546964003647642,-0.6128886848270376,-1.3474152181309875,-1.4718800174793067,-0.07784303187920527,-1.1044642322456155,-0.5201790405599706,1.3007507798896227,0.9274024745630656,1.3921983403842564,1.4283886369104482,3
6239,-0.7788075504361053,-1.5948937663473697,0.3449010907661087,0.4047348308175216,0.4752122889639036,-0.10976579712847223,0.01279010332582191,-0.1297472138134929,-0.4645376246348862,-1.4718800174793067,-0.07784303187920527,1.3432352185707128,1.6105399745071334,0.5820123553565799,0.9274024745630656,0.6216725166580138,0.4078992380161426,5
6240,-0.7788075504361053,0.6720854581961125,-0.2588238847859628,0.4047348308175216,0.2802102740626438,-1.352428673988578,-1.1789315544244092,-1.1404177114814027,1.3012175623573172,1.5347990734875725,-0.8423554482411629,0.3789899803703409,1.6105399745071334,0.5820123553565799,0.9274024745630656,0.6216725166580138,0.4078992380161426,3
6241,1.2840142592865669,0.8799743827175672,1.8987506180066864,-1.03023974648201,-1.0848038302461749,-1.017328572363381,-1.0796214162785565,-1.0379848907718172,0.7126325000265826,1.5347990734875725,0.6866693844827525,-1.1044642322456155,-0.5201790405599706,-1.0613083024028944,-0.8290757467849664,-1.0221252156031304,-1.1228348603253158,5
6258,1.2840142592865669,0.7314822937736709,1.3939969499221674,-0.2102542737394206,-0.10979375573987572,-0.3331658648786036,-0.5688835629570289,-0.5633794881507379,1.3012175623573172,-0.9707668356514938,1.4511818008447102,1.1948897973091173,-0.5201790405599706,-0.14889701336482844,0.049163363889049516,-0.12787144361403,-0.10234546143101017,3
6260,-0.7788075504361053,0.7314822937736709,-0.6349148531626632,0.19973846263187425,0.4752122889639036,0.09967176638727593,-0.12908152259682462,-0.08365244449417948,-0.17024509346951902,1.5347990734875725,2.215694217206668,0.9723716654167236,1.6105399745071334,0.4055083073369897,0.9274024745630656,0.4768869142822406,0.4078992380161426,2
6263,-0.7788075504361053,1.3650485399342949,0.0776785606037164,0.4047348308175216,0.2802102740626438,-0.17957831830038828,-0.02977138445097205,-0.15023377795541,-0.17024509346951902,1.0336858916597589,0.6866693844827525,-0.7336006790916266,3.741258989574237,0.5820123553565799,0.9274024745630656,0.6216725166580138,0.4078992380161426,1
6265,-0.7788075504361053,-0.13967129469718673,1.2653342502143492,1.4297166717457586,1.2552203485689426,-1.0731785893009138,-1.0370599285017623,-0.9850612667385312,-0.17024509346951902,1.5347990734875725,1.4511818008447102,0.9723716654167236,1.6105399745071334,1.2458224405544869,0.9274024745630656,1.1871956311450869,1.4283886369104482,5
